titleId,ordering,title,region,language,types,attributes,isOriginalTitle
tt0000005,4,Blacksmith Scene,CA,en,imdbDisplay,\N,0
tt0000010,6,La sortie de l'usine LumiÃ¨re Ã  Lyon,CA,en,imdbDisplay,\N,0
tt0000012,22,The Arrival of a Train,XWW,en,imdbDisplay,\N,0
tt0000012,24,L'arrivÃ©e d'un train Ã  La Ciotat,CA,en,imdbDisplay,\N,0
tt0000012,27,The Arrival of a Train,XEU,en,imdbDisplay,\N,0
tt0000012,9,The Arrival of a Train at La Ciotat,XWW,en,alternative,\N,0
tt0000013,11,The Photographical Congress Arrives in Lyon,XWW,en,imdbDisplay,\N,0
tt0000016,1,Boat Leaving the Port,XWW,en,imdbDisplay,\N,0
tt0000023,11,A Dip in the Sea,XWW,en,alternative,\N,0
tt0000023,4,The Sea,XWW,en,imdbDisplay,\N,0
tt0000027,9,Cordeliers' Square in Lyon,XWW,en,imdbDisplay,\N,0
tt0000028,5,Fishing for Goldfish,XWW,en,imdbDisplay,\N,0
tt0000029,3,Le repas de bÃ©bÃ©,NZ,en,festival,\N,0
tt0000029,6,Baby's Meal,XWW,en,imdbDisplay,\N,0
tt0000031,2,Jumping the Blanket,XWW,en,imdbDisplay,\N,0
tt0000033,4,Horse Trick Riders,XWW,en,imdbDisplay,\N,0
tt0000033,5,Horse Riders,XWW,en,alternative,\N,0
tt0000034,4,Arrival of a Train at Vincennes Station,XWW,en,alternative,\N,0
tt0000035,4,The Sprinkler Sprinkled,XWW,en,alternative,\N,0
tt0000070,10,Demolition of a Wall,CA,en,imdbDisplay,\N,0
tt0000070,8,Demolition of a Wall,XWW,en,imdbDisplay,\N,0
tt0000089,7,Leaving Jerusalem by Railway,XWW,en,\N,\N,0
tt0000091,15,The Devil's Castle,XEU,en,\N,\N,0
tt0000117,2,Workers Exit from the Confianca Shirt Factory,XWW,en,\N,literal English title,0
tt0000131,10,A Terrible Night,XWW,en,\N,\N,0
tt0000132,4,Card Party,XWW,en,imdbDisplay,\N,0
tt0000132,5,Card Party,CA,en,imdbDisplay,\N,0
tt0000140,4,Bathing in a Stream,XWW,en,dvd,\N,0
