rank,id,name,year,imbd_votes,duration
1,tt0111161,The Shawshank Redemption,1994,2601152,142
2,tt0068646,The Godfather,1972,1796656,175
3,tt0468569,The Dark Knight,2008,2572662,152
4,tt0071562,The Godfather Part II,1974,1237934,202
5,tt0050083,12 Angry Men,1957,768548,96
6,tt0108052,Schindler's List,1993,1322917,195
7,tt0167260,The Lord of the Rings: The Return of the King,2003,1786498,201
8,tt0110912,Pulp Fiction,1994,1993957,154
9,tt0120737,The Lord of the Rings: The Fellowship of the Ring,2001,1807565,178
10,tt0060196,"Il buono, il brutto, il cattivo",1966,746053,161
11,tt0109830,Forrest Gump,1994,2009640,142
12,tt0137523,Fight Club,1999,2048759,139
13,tt1375666,Inception,2010,2282447,148
14,tt0167261,The Lord of the Rings: The Two Towers,2002,1613445,179
15,tt0080684,The Empire Strikes Back,1980,1258886,124
16,tt0133093,The Matrix,1999,1867547,136
17,tt0099685,Goodfellas,1990,1124975,145
18,tt0073486,One Flew Over the Cuckoo's Nest,1975,987558,133
19,tt0114369,Se7en,1995,1596843,127
20,tt0047478,Shichinin no samurai,1954,340526,207
21,tt0038650,It's a Wonderful Life,1946,446922,130
22,tt0102926,The Silence of the Lambs,1991,1392578,118
23,tt0317248,Cidade de Deus,2002,743932,130
24,tt0120815,Saving Private Ryan,1998,1354311,169
25,tt0118799,La vita è bella,1997,679573,116
26,tt0120689,The Green Mile,1999,1264587,189
27,tt0816692,Interstellar,2014,1743555,169
28,tt0076759,Star Wars,1977,1330965,121
29,tt0103064,Terminator 2: Judgment Day,1991,1073286,137
30,tt0088763,Back to the Future,1985,1167865,116
31,tt0245429,Sen to Chihiro no kamikakushi,2001,737358,125
32,tt0054215,Psycho,1960,656425,109
33,tt0253474,The Pianist,2002,809467,150
34,tt0110413,Léon,1994,1132261,110
35,tt6751668,Gisaengchung,2019,752365,132
36,tt0110357,The Lion King,1994,1030401,88
37,tt0172495,Gladiator,2000,1461459,155
38,tt0120586,American History X,1998,1100708,119
39,tt0114814,The Usual Suspects,1995,1064869,106
40,tt0407887,The Departed,2006,1292858,151
41,tt0482571,The Prestige,2006,1299898,130
42,tt0034583,Casablanca,1942,561755,102
43,tt1745960,Top Gun: Maverick,2022,182091,130
44,tt2582802,Whiplash,2014,816452,106
45,tt1675434,The Intouchables,2011,836025,112
46,tt0027977,Modern Times,1936,238388,87
47,tt0056058,Seppuku,1962,54568,133
48,tt0064116,Once Upon a Time in the West,1968,324490,165
49,tt0095327,Hotaru no haka,1988,268799,89
50,tt0047396,Rear Window,1954,482592,112
