id,budget,original_language,genres,popularity,release_date,runtime,title,revenue
1,14000000,en,Comedy,6.575393,2/20/2015,93,Hot Tub Time Machine 2,12314651
2,40000000,en,Romance,8.248895,8/6/2004,113,The Princess Diaries 2: Royal Engagement,95149435
3,3300000,en,Drama,64.29999,10/10/2014,105,Whiplash,13092000
4,1200000,hi,Drama,3.174936,3/9/2012,122,Kahaani,16000000
5,0,ko,Thriller,1.14807,2/5/2009,118,Marine Boy,3923970
6,8000000,en,Family,0.743274,8/6/1987,83,Pinocchio and the Emperor of the Night,3261638
7,14000000,en,Thriller,7.286477,8/30/2012,92,The Possession,85446075
8,0,en,Documentary,1.949044,1/15/2004,84,Control Room,2586511
9,0,en,Adventure,6.902423,2/16/1996,100,Muppet Treasure Island,34327391
10,6000000,en,Music,4.672036,4/16/2003,91,A Mighty Wind,18750246
11,1000000,en,Drama,14.774066,11/21/1976,119,Rocky,117235147
12,0,en,Comedy,10.54375,7/10/1987,98,Revenge of the Nerds II: Nerds in Paradise,22642033
13,15000000,en,Drama,20.726578,9/15/1999,122,American Beauty,356296601
14,53000000,en,Crime,13.314233,3/4/2005,118,Be Cool,95226116
15,102000000,en,Mystery,20.666063,6/20/2002,145,Minority Report,358372926
16,500000,sr,Drama,1.018477,10/6/2010,97,Skinning,198
17,26000000,en,Thriller,6.336927,8/4/2005,85,Red Eye,57891803
18,0,en,Romance,4.183558,12/25/2013,111,The Invisible Woman,1234254
19,8000000,en,Romance,6.496259,2/2/2011,96,Chalet Girl,1749457
20,32000000,en,Crime,11.359659,8/2/2005,87,Transporter 2,85167639
21,80000000,en,Science Fiction,12.000579,4/3/1998,130,Lost in Space,136159423
22,4000000,en,Thriller,7.99229,8/13/1982,95,Friday the 13th Part III,36690067
23,0,en,Horror,7.820787,7/28/2012,116,V/H/S,100345
24,0,en,Foreign,1.323333,9/2/2011,92,InSight,17011
25,0,en,Comedy,7.434577,9/9/2006,87,Black Sheep,4947717
26,0,en,Thriller,1.252367,10/23/1992,95,Dr. Giggles,8403433
27,10000000,en,Thriller,4.305735,9/8/1997,110,The Spanish Prisoner,13835130
28,11000000,en,Romance,10.841891,9/7/2013,93,What If,7847000
29,6000000,en,Animation,6.759181,8/8/1986,84,The Transformers: The Movie,5849647
30,45000000,en,Thriller,7.81862,4/7/2002,89,Changing Lanes,94935764
31,13000000,fr,Comedy,16.086919,11/2/2011,112,The Intouchables,426480871
32,0,fr,Thriller,5.69586,5/2/2005,117,Caché,36000000
33,90000000,en,Adventure,13.412445,10/21/2015,106,The Last Witch Hunter,146936910
34,0,en,Horror,8.254856,10/2/2014,125,ABCs of Death 2,7171
35,140000000,en,Thriller,9.718111,8/8/2007,91,Rush Hour 3,258022233
36,30000000,en,Thriller,8.234382,4/16/2012,94,Safe,40346186
37,0,en,Romance,2.100499,1/28/2000,105,About Adam,151559
38,50000000,en,Thriller,13.676444,3/10/1995,127,Outbreak,189859560
39,0,en,Thriller,0.32926,9/13/2013,90,Final: The Rapture,92100
40,3800000,en,Western,3.055936,4/7/1965,123,Major Dundee,14873
41,0,en,Documentary,2.941626,4/26/2006,118,Cocaine Cowboys,163000
42,3000000,en,Drama,9.718713,6/22/1967,126,Cool Hand Luke,16217773
43,25000000,en,Comedy,2.971999,3/3/2000,108,The Next Best Thing,24362772
44,6000000,en,Drama,9.383088,9/5/2014,92,5 Flights Up,1020921
45,15000000,en,Romance,5.615303,2/4/2005,88,The Wedding Date,47175038
46,3906840,it,Thriller,2.382068,10/9/2009,95,The Double Hour,4300000
47,80000000,en,Adventure,16.646029,3/23/2006,91,Ice Age: The Meltdown,660940780
48,44000000,en,Western,20.328822,12/25/2015,167,The Hateful Eight,155760117
49,0,en,Comedy,8.984386,3/24/2017,94,Wilson,653951
50,38000000,en,Thriller,8.105708,11/17/1994,118,Star Trek: Generations,120000000
51,560000,nl,Comedy,1.572904,1/30/2008,102,"Moscow, Belgium",1500000
52,12000000,en,Comedy,4.473327,7/1/1965,160,The Great Race,25333333
53,0,en,Family,1.012665,6/24/1980,97,The Last Flight of Noah's Ark,11000000
54,0,en,Romance,5.410839,1/15/1988,98,For Keeps,17514553
55,20000000,en,Action,8.759801,2/19/2016,107,Risen,46069568
56,0,en,Romance,9.122718,7/2/1993,95,Son in Law,36448200
57,0,fr,Drama,2.94798,8/5/2009,97,Queen to Play,1056938
58,125000000,en,Fantasy,17.038824,6/20/1997,125,Batman & Robin,238207122
59,0,en,Romance,1.882446,6/24/2008,95,Were The World Mine,119563
60,14000000,en,Comedy,3.909079,3/8/2002,95,All About the Benjamins,25482931
61,150000000,en,Thriller,23.065078,11/14/2006,144,Casino Royale,599045960
62,4000000,en,Drama,1.801071,5/30/1956,105,Trapeze,14400000
63,0,en,Drama,6.381612,1/16/1998,124,Fallen,25232289
64,5000000,en,Thriller,7.743144,7/28/1989,100,Friday the 13th Part VIII: Jason Takes Manhattan,14000000
65,12000000,en,Adventure,11.160699,9/21/2013,115,Nebraska,17654912
66,1500000,en,Action,8.822276,2/26/1988,92,Bloodsport,11806119
67,12000000,en,Comedy,5.145185,1/14/2010,108,Henry's Crime,204940
68,0,zh,Drama,6.303552,10/4/2013,133,A Touch of Sin,154120
69,2000000,en,Drama,14.284787,12/25/1962,129,To Kill a Mockingbird,13129846
70,85000000,en,Thriller,2.238808,6/3/2006,104,The Fast and the Furious: Tokyo Drift,158468292
71,29000000,en,Fantasy,12.092096,3/4/2005,103,The Jacket,21126225
72,0,es,Drama,7.667491,2/6/2004,126,The Motorcycle Diaries,16756372
73,11000000,en,Music,8.290384,4/5/1990,85,Cry-Baby,8266343
74,0,cs,Documentary,0.919556,3/30/2004,90,Czech Dream,17393
75,445000,en,Drama,2.482536,3/31/1976,84,Jackson County Jail,2300000
76,17000000,en,Comedy,9.665251,8/18/2011,106,Fright Night,24922237
77,500000,ta,Foreign,0.660663,5/5/2000,157,Kandukondain Kandukondain,500000
78,6000000,en,Comedy,10.451986,7/25/1980,98,Caddyshack,39846344
79,0,en,Thriller,2.633399,12/18/1981,122,Sharky's Machine,35610100
80,1500000,en,Thriller,6.636625,9/15/2016,102,31,779820
81,15000000,en,Thriller,4.98408,12/14/2002,118,Dark Blue,9237470
82,10284523,en,Romance,4.349046,10/21/2005,104,Shopgirl,11588205
83,43000000,en,Thriller,10.947957,7/29/2005,104,The Skeleton Key,91974818
84,28000000,en,Science Fiction,7.482865,12/6/1984,116,2010,40400657
85,2000000,en,Mystery,10.239941,1/21/2011,85,Silent House,13101672
86,50000000,en,Thriller,7.260574,6/9/1995,109,Congo,152022101
87,8000000,en,Drama,9.741644,12/18/1979,105,Kramer vs. Kramer,106260000
88,7500000,cn,Thriller,12.314278,1/30/1995,91,Rumble in the Bronx,32392047
89,20000000,en,History,13.655178,3/31/2017,126,The Zookeeper's Wife,13162475
90,0,en,Romance,4.359884,2/5/1993,109,Sommersby,140081992
91,30000000,en,Crime,25.261865,10/10/2003,111,Kill Bill: Vol. 1,180949000
92,0,it,Drama,3.83196,3/16/2001,106,His Secret Life,215339
93,35000000,en,Romance,1.690768,9/20/1995,135,The Horseman on the Roof,15000000
94,0,en,History,14.322814,5/15/2008,96,Hunger,2724474
95,15000000,en,Mystery,18.184056,5/16/2001,147,Mulholland Drive,20117339
96,0,ru,Drama,0.181963,12/9/2012,72,And Here's What's Happening to Me,14353
97,2500000,fr,Romance,2.942355,11/14/2011,98,Sleepless Night,3358
98,0,ru,Drama,1.042112,6/26/2011,158,Target,73000
99,10500000,es,Family,11.003515,8/31/2012,90,"Tad, the Lost Explorer",23000000
100,6000000,en,Drama,5.529808,4/15/1988,120,Colors,46616067
101,7000000,en,Horror,7.958502,1/26/1990,91,Dark Angel,9229401
102,60000000,en,Romance,11.93646,12/11/2001,135,A Beautiful Mind,313542341
103,0,ko,Foreign,1.066558,8/18/2007,102,Going by the Book,14961069
104,0,en,Drama,2.401289,9/28/2012,121,Won't Back Down,5310554
105,0,tr,Comedy,1.590383,2/20/2014,117,Recep İvedik 4,149521495
106,10900000,en,Drama,13.454169,9/8/2013,105,Belle,16505460
107,31000000,en,Drama,6.523155,1/21/2010,105,Extraordinary Measures,15134293
108,72000000,en,War,20.755149,5/24/1995,177,Braveheart,210000000
109,14000000,en,Romance,3.873796,4/15/1999,97,An Ideal Husband,18535191
110,15000000,en,Romance,3.210693,10/10/1966,189,Hawaii,34562222
111,75000000,en,Romance,13.136791,10/12/2001,123,Bandits,67631903
112,35000000,en,Drama,5.093704,8/6/2004,111,Little Black Book,22034832
113,100000000,en,History,11.696923,11/20/2015,122,In the Heart of the Sea,93820758
114,20000000,en,Romance,4.619593,3/25/1988,106,Biloxi Blues,51684798
115,93000000,en,Action,32.070725,12/18/2001,178,The Lord of the Rings: The Fellowship of the Ring,871368364
116,25000000,en,Comedy,5.00725,5/31/2002,86,Undercover Brother,41604473
117,0,zh,Drama,1.678013,11/1/2012,145,Back to 1942,311
118,0,en,Comedy,11.356011,3/2/2007,100,Wild Hogs,253625427
119,0,en,Romance,4.304224,6/18/1993,107,Boxing Helena,1796389
120,12716953,cn,Comedy,6.183021,1/31/1997,113,Mr. Nice Guy,18814720
121,90000000,en,Thriller,8.345985,8/3/2001,90,Rush Hour 2,347325802
122,150000000,en,Family,12.453452,6/18/1999,88,Tarzan,448000000
123,1500000,en,Thriller,1.961208,2/9/1990,94,Loose Cannons,5585154
124,25000000,en,Thriller,8.369176,3/20/2000,115,Romeo Must Die,91036760
125,7500000,en,Romance,16.376657,7/17/2009,95,(500) Days of Summer,60722734
126,40000000,zh,War,14.622493,7/3/2008,125,The Children of Huang Shi,7400000
127,0,en,Comedy,5.695908,6/2/1978,105,Corvette Summer,15500000
128,10000000,en,Mystery,7.886926,12/22/2000,111,The Gift,12008642
129,18000000,en,Thriller,9.929809,10/14/2005,100,The Fog,46201432
130,2400000,en,Drama,5.230661,10/16/1996,120,Get on the Bus,5731103
131,4000000,en,Comedy,10.130541,7/24/2013,90,Alan Partridge: Alpha Papa,9800000
132,6000000,en,Thriller,8.278079,1/1/2011,93,The Good Doctor,5206
133,0,en,History,1.079975,9/2/2000,97,The Endurance: Shackleton's Legendary Antarctic Expedition,2452566
134,65000000,en,Drama,11.73956,11/4/2010,95,Due Date,211780824
135,10000000,en,Romance,11.840495,9/6/2007,100,"Run, Fatboy, Run",33000000
136,2000000,en,Drama,1.372493,6/29/2006,90,Ten Canoes,300000
137,0,en,Family,2.490032,5/25/2012,92,Cowgirls n' Angels,120680
138,9000000,en,Comedy,8.888278,4/29/1994,79,PCU,4350774
139,0,en,Thriller,10.245682,2/5/2010,93,Frozen,3065860
140,110000000,en,Thriller,0.913096,4/24/2003,133,X2,407711549
141,14320000,en,Romance,0.585397,7/18/1968,176,Star!,14000000
142,0,en,Romance,7.008512,8/31/2003,101,Girl with a Pearl Earring,31466789
143,3500000,en,Comedy,5.353826,1/22/2016,108,The Bronze,615816
144,18000000,en,Drama,6.675032,11/5/2008,98,The Informers,382174
145,4000000,en,Thriller,6.216637,10/26/1967,108,Wait Until Dark,11000000
146,0,en,Romance,3.805811,12/9/2016,88,Frank & Lola,9188
147,0,en,Crime,10.278957,3/17/1988,90,Police Academy 5: Assignment Miami Beach,19510371
148,39200000,ko,Drama,14.131906,8/1/2013,126,Snowpiercer,86758912
149,0,en,Family,9.322717,4/3/1992,87,Beethoven,147214049
150,25000000,en,Drama,5.405958,3/28/2012,113,Dark Tide,432274
151,0,en,Western,1.178642,12/12/1980,108,Windwalker,18
152,0,en,Documentary,1.279443,1/25/2016,100,Holy Hell,16905
153,0,en,Horror,3.520171,1/1/1988,92,Paperhouse,241
154,4000000,en,Thriller,10.200398,1/23/2015,91,The Boy Next Door,52425855
155,0,en,Thriller,2.620456,1/4/1983,90,Vigilante,5091888
156,20000000,en,Family,8.759774,2/14/2002,72,Return to Never Land,109862682
157,3500000,ru,Action,0.768181,3/5/2005,126,Shadowboxing,8262833
158,0,en,Science Fiction,0.56257,1/7/1994,94,American Cyborg: Steel Warrior,447784
159,63600000,en,Crime,6.047757,10/6/2000,102,Get Carter,19412993
160,32000000,en,Western,7.54701,2/9/1995,107,The Quick and the Dead,18552460
161,3500000,en,Drama,4.456904,2/7/2006,98,Winter Passing,113783
162,0,en,Romance,1.319188,4/22/1988,88,Casual Sex?,12277096
163,125000,en,Comedy,10.850569,9/11/2011,90,Your Sister's Sister,3200000
164,9000000,en,Drama,5.997054,9/17/1998,93,Rushmore,17096053
165,40000000,en,Horror,9.825841,4/5/2007,99,The Reaping,62771059
166,0,en,Romance,0.836108,1/1/1989,90,Ghosts Can't Do It,25000
167,0,en,Music,8.802715,6/6/1982,87,Koyaanisqatsi,1723872
168,19000000,en,Thriller,10.966015,9/9/2005,122,The Exorcism of Emily Rose,144216468
169,5000000,en,Crime,6.501177,5/21/1975,113,The Return of the Pink Panther,41833347
170,2000000,en,Science Fiction,11.189831,12/24/1981,95,Mad Max 2: The Road Warrior,24600832
171,0,en,Crime,9.021668,3/28/1985,87,Police Academy 2: Their First Assignment,55600000
172,0,en,Thriller,5.524866,10/11/1987,102,House of Games,2585639
173,3500000,en,Mystery,8.55931,2/23/1966,121,Harper,12000000
174,11000000,en,Adventure,8.929393,8/2/1991,98,Return to the Blue Lagoon,2807854
175,12468389,en,Comedy,6.116093,10/14/2011,97,A Few Best Men,29007412
176,38000000,en,Thriller,1.406181,6/22/2001,106,The Fast and the Furious,207283925
177,90000000,en,Thriller,5.496624,1/14/2000,91,Supernova,14828081
178,0,en,Romance,0.060645,3/7/1997,74,Boys Life 2,532654
179,15000000,en,War,14.778884,10/22/1982,93,First Blood,125212904
180,32000000,en,Thriller,11.137888,7/7/1989,133,Licence to Kill,156167015
181,30000000,en,Drama,5.844016,9/9/2008,130,Pride and Glory,31148328
182,0,en,Drama,5.725912,10/24/2002,119,The Magdalene Sisters,20957001
183,0,en,Romance,10.313689,5/24/1991,104,Only the Lonely,21830957
184,6000000,ja,Action,9.534232,9/9/2010,141,13 Assassins,17555141
185,82500000,en,Romance,9.796552,6/22/2006,107,Click,237681299
186,14000000,en,Crime,1.36737,2/20/1997,93,Love's Deadly Triangle: The Texas Cadet Murder,161001698
187,5000000,en,Comedy,3.172765,10/6/2006,95,Trailer Park Boys: The Movie,3833507
188,259000,en,Mystery,0.722511,11/24/2028,65,West of Zanzibar,921000
